timestamp,run_name,_source_file,model,gradient,window,epochs,batch,lr,seed,device,fft,fft_cutoff,sampling_rate,stride,dtype,ds_train_windows,ds_test_windows,ds_T,ds_C,ds_classes,kl,mae,acc@0.1,acc@0.2,dynTopK%,presence_f1,presence_precision,presence_recall
2025-09-23T00:42:31,mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba/results.jsonl,cnn,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.45358207457980443,0.05040824616891007,0.3504477981087211,0.6251380202258646,85.63436563436564,0.821912685799757,0.7723120168657766,0.8783216783216783
2025-09-23T00:42:31,mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.001-seed42-20250923-004109-2916ba/results.jsonl,cnn,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.623922945679845,0.12018076189466424,0.08486271197094757,0.3826291094948683,35.78675154167495,0.3331384015594542,0.32658131091152304,0.33996419335587824
2025-09-23T00:44:55,mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31/results.jsonl,lstm,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.5033409264545108,0.04308993399663027,0.4653416760910246,0.6895472951833931,86.39360639360639,0.8519021739130435,0.8282694848084544,0.8769230769230769
2025-09-23T00:44:55,mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.001-seed42-20250923-004231-7ccc31/results.jsonl,lstm,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.4407347005766793,0.11518338967014004,0.11850903454470013,0.39358372619352533,34.23513029639944,0.3334283813325729,0.3192573716781944,0.3489158543863139
2025-09-23T00:48:19,mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393/results.jsonl,transformer,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.38635398023003753,0.04173918884940619,0.47987976965326834,0.6664212980953086,89.07092907092907,0.7604866180048663,0.7413662239089184,0.7806193806193806
2025-09-23T00:48:19,mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.001-seed42-20250923-004455-d2f393/results.jsonl,transformer,0,100,60,64,0.001,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.8066154847273954,0.11630069101984436,0.085360649135242,0.3474889757462256,34.13566739606127,0.37825436408977553,0.3793517406962785,0.37716331808235526
2025-09-23T00:49:40,mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb/results.jsonl,mlp,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.7760431090759676,0.06789962800089704,0.25162556767463684,0.4967488655172642,72.42757242757243,0.6881879762912786,0.7317128066621652,0.6495504495504496
2025-09-23T00:49:40,mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-mlp-g0-w100-bs64-lr0.003-seed42-20250923-004824-f2fdcb/results.jsonl,mlp,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.3248766902330757,0.11221571417676436,0.1129605922111832,0.3534642206238622,37.17923214640939,0.3816590984605161,0.43053473263368314,0.3427491545653471
2025-09-23T00:51:03,mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379/results.jsonl,cnn,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.4763662633161212,0.05235825751929782,0.32762851218638456,0.6086983195244499,83.85614385614386,0.815537555228277,0.7561017238436594,0.8851148851148851
2025-09-23T00:51:03,mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-cnn-g0-w100-bs64-lr0.003-seed42-20250923-004940-bbc379/results.jsonl,cnn,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.488235961746525,0.11640008035543803,0.12462654793766183,0.37672499805447185,36.463099263974534,0.37028935070100427,0.37017892644135186,0.37039984085935945
2025-09-23T00:53:29,mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f/results.jsonl,lstm,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.675345994358839,0.05676745116537393,0.3667648143306742,0.5728131519725843,76.94305694305694,0.7384615384615384,0.6923076923076923,0.7912087912087912
2025-09-23T00:53:29,mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-lstm-g0-w100-bs64-lr0.003-seed42-20250923-005103-77a28f/results.jsonl,lstm,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.6919177867270805,0.1193439520492747,0.09560392703503255,0.35958173358435314,28.38671175651482,0.29137621987651857,0.2917248255234297,0.2910284463894967
2025-09-23T00:56:54,mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48/results.jsonl,transformer,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,0.5162294951462468,0.04731333268763021,0.450312845389721,0.6486320699296719,84.5954045954046,0.7513427491545653,0.7480689245395128,0.7546453546453546
2025-09-23T00:56:54,mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48,/orcd/home/002/dewei/workspace/SmellNet/models/mixture_runs_w100/mix-transformer-g0-w100-bs64-lr0.003-seed42-20250923-005329-68cd48/results.jsonl,transformer,0,100,60,64,0.003,42,,False,0.05,1.0,,float32,11011,2717,100,5,12,2.8909343416626387,0.11526741006889858,0.09126476062651735,0.354033291632428,32.90232743186791,0.35540723745958913,0.3735203857957036,0.33896956435249653
